query_order,query_index,query_id,epsilon,position,token_id,token_text,token_category,neutral_raw_shift,terse_raw_shift,verbose_raw_shift,neutral_projected_shift,terse_projected_shift,verbose_projected_shift,raw_across_wrapper_variance,projected_across_wrapper_variance,relation_to_identity
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,0,151667,<think>,task,3.4332275390625e-05,3.4332275390625e-05,3.4332275390625e-05,3.4332275390625e-05,3.4332275390625e-05,3.4332275390625e-05,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,1,198,Ċ,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,2,32313,Okay,other,1.52587890625e-05,1.52587890625e-05,1.9073486328125e-05,1.52587890625e-05,1.52587890625e-05,1.9073486328125e-05,3.233758939637078e-12,3.233758939637078e-12,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,3,11,",",other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,4,773, so,other,-0.19911575317382812,-0.22564697265625,-0.13394927978515625,-0.10828781127929688,-0.10610198974609375,-0.07622909545898438,0.0014843379710024844,0.00021388098765682016,lower
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,5,358, I,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,6,1184, need,other,0.003986358642578125,0.00710296630859375,0.00710296630859375,0.003078460693359375,0.005344390869140625,0.005615234375,2.1584985208594135e-06,1.2936684975607527e-06,lower
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,7,311, to,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,8,12564, compute,other,0.000286102294921875,0.0001678466796875,0.000385284423828125,0.0002288818359375,0.0001220703125,0.00031280517578125,7.900073089533382e-09,6.0924018422762556e-09,lower
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,9,279, the,other,-0.09717559814453125,-0.07045745849609375,-0.049137115478515625,-0.0591888427734375,-0.0404510498046875,-0.031982421875,0.00038623464772374265,0.00012922354249490632,lower
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,10,3930, limit,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,11,400, $,other,0.15989303588867188,0.13623809814453125,0.08525848388671875,0.13881683349609375,0.11472320556640625,0.07468032836914062,0.0009698659446763082,0.0006997140234387997,lower
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,12,1124, \,other,-3.814697265625e-06,0.0,-2.288818359375e-05,-3.814697265625e-06,0.0,-1.52587890625e-05,1.0024652712874943e-10,4.2038866215282016e-11,lower
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,13,4659,lim,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,14,15159,_{,task,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,15,77,n,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,16,59,\,other,3.814697265625e-06,7.62939453125e-06,3.814697265625e-06,3.814697265625e-06,7.62939453125e-06,3.814697265625e-06,3.233758939637078e-12,3.233758939637078e-12,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,17,983,to,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,18,59,\,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,19,258,in,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,20,36958,fty,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,21,335, },task,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,22,308, n,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
0,0,deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,0.004,23,59,\,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tied
