query_id,source,wrapper,control_role,answer_free,style_only_control,projection,epsilon,alpha,achieved_mean_kl,constraint_active,task_logprob_gain,style_abs_logprob_shift,generated_tokens,truncated
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,deepmath,neutral,neutral_answer_free_reference,1,0,raw_privileged_surrogate,0.004,1.0,0.006443541986781855,0,0.0020421055306765004,0.08412853712888108,10130,0
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,deepmath,neutral,neutral_answer_free_reference,1,0,trsd_projected,0.004,0.75,0.003967856317995136,1,0.0021052443869866793,0.06296440006531391,10130,0
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,deepmath,terse,answer_free_style_only_control,1,1,raw_privileged_surrogate,0.004,1.0,0.0071931205511062525,0,0.0019671677801065077,0.09404903097251027,10130,0
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,deepmath,terse,answer_free_style_only_control,1,1,trsd_projected,0.004,0.703125,0.003995127540561741,1,0.0020543829744616164,0.0656701215763682,10130,0
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,deepmath,verbose,answer_free_style_only_control,1,1,raw_privileged_surrogate,0.004,1.0,0.006521317446808816,0,0.0026628577826209748,0.08754689914664042,10130,0
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,deepmath,verbose,answer_free_style_only_control,1,1,trsd_projected,0.004,0.74609375,0.0039814135618232195,1,0.0025300433939942223,0.06475797633534854,10130,0
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,deepmath,neutral,neutral_answer_free_reference,1,0,raw_privileged_surrogate,0.004,1.0,0.011256228986977748,0,0.0009448641822451637,0.14979801302641824,10240,1
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,deepmath,neutral,neutral_answer_free_reference,1,0,trsd_projected,0.004,0.53515625,0.003955523261281122,1,0.0014503978547595797,0.07867622375488281,10240,1
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,deepmath,terse,answer_free_style_only_control,1,1,raw_privileged_surrogate,0.004,1.0,0.013014139881793656,0,0.00117622557140532,0.1659935720605788,10240,1
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,deepmath,terse,answer_free_style_only_control,1,1,trsd_projected,0.004,0.484375,0.003997278241048913,1,0.001611804962158203,0.07881339079414318,10240,1
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,deepmath,verbose,answer_free_style_only_control,1,1,raw_privileged_surrogate,0.004,1.0,0.010783369378221807,0,0.002048319862002418,0.13893326902701184,10240,1
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,deepmath,verbose,answer_free_style_only_control,1,1,trsd_projected,0.004,0.54296875,0.003973047116958015,1,0.001965279049343533,0.0744383818183849,10240,1
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,deepmath,neutral,neutral_answer_free_reference,1,0,raw_privileged_surrogate,0.004,1.0,0.017065017966868212,0,-0.003731055337874616,0.10729777687474301,3770,0
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,deepmath,neutral,neutral_answer_free_reference,1,0,trsd_projected,0.004,0.44140625,0.003956758730783722,1,-5.53131103515625e-05,0.04698556598864104,3770,0
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,deepmath,terse,answer_free_style_only_control,1,1,raw_privileged_surrogate,0.004,1.0,0.018489099032147745,0,-0.002212133563932825,0.1251525276585629,3770,0
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,deepmath,terse,answer_free_style_only_control,1,1,trsd_projected,0.004,0.41015625,0.0039603428636711836,1,0.0003134826493393528,0.050297024375513984,3770,0
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,deepmath,verbose,answer_free_style_only_control,1,1,raw_privileged_surrogate,0.004,1.0,0.015399434892984103,0,-0.00240417647231472,0.09600781892475328,3770,0
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,deepmath,verbose,answer_free_style_only_control,1,1,trsd_projected,0.004,0.45703125,0.003951115970616606,1,0.00011611375652375768,0.04334449768066406,3770,0
